1,2
1,精力不足
2,金币不足
3,该装备不在背包里 
4,该装备已上阵
5,装备超过装备槽上限
6,发送的数据不合法
7,发送装备相关的数据包数据不合法
8,"""先要上阵侠客，然后才能武器，防具等"""
9,CSV 文件读取失败
10,CSV 数据配置有问题
11,请求的任务超前了
12,数据计算发生错误
13,数据库没有该数据或者发生错误
14,战力不足
15,该碎片已被夺走
16,材料不足
17,数据库错误
18,合成物品时间还没有到
19,该物品正在合成
20,不在背包里
21,金币不足
22,没有满级
23,不允许进化
24,已上阵
25,等级不足
26,该邮件不可识别
27,该邮件已处理
28,今天的挑战次数已经用完了
29,挑战冷却中
30,该用户没有参加论剑
31,等级不足
32,初始化论剑对象失败 
33,没有足够的声望 
34,该商品已下架
35,已达到该物品的领取上限
36,作BOSS任务战斗失败
37,任务冷却中
38,任务战斗结果为 败
39,请求的任务类型不合法
40,等级不足
41,"""论剑排名已刷新，请刷新列表。"""
42,您的排名不足
43,等级不足
44,元宝不足
45,工会对象初始化失败
46,扣费失败
47,已加入工会
48,未加入工会
49,工会已满级
50,工会荣誉值不足
51,您没有该权限
52,公会不存在
53,公会人数已满
54,今日任务已经完成
55,个人荣誉不足
56,公会等级不足
57,该成员已有职位
58,公会 无效的任命职位
59,公会 成员不是这个职位
60,该职位人数已达上限
61,创始人不能退出公会
62,商城获取订单号失败
63,商城购买物品最大次数
64,商城扣费失败
65,好友数量已达上线
66,物品不可使用
67,物品使用失败
68,技能合成失败
69,对方正处于免战状态
70,"""侠客或者装备背包已满，请清理背包"""
71,该用户没有该商场物品
72,已经上阵
73,该阵容位还没有开启
74,未上阵
75,习武冷却中
76,"""挑战次数已满，充值获得VIP可以消除挑战次数。"""
77,请求的任务超前
78,已满级
79,该礼包还未到领取时间
80,您已达到该礼包的领取上限
81,之前的拜师信息为无
82,无法发现这个拜师信息 
83,改变密码失败
84,密码输入失败
85,没有匹配的箱子或者钥匙
86,该商品不可出售
87,至少要上阵一个侠客
88,您正处于免战状态
89,该位置已存在侠客
90,"""该装备无法强化，请提升人物等级"""
91,不在上阵阵容里
92,2级以上的侠客才能传功
93,不能上阵同样的侠客
94,没有足够的江湖阅历
95,没有找到相应的好友BOSS数据
96,好友BOSS 初始化非法
97,该奖励已经领取
98,该文本含有脏词或者敏感词
99,好友请求已经递交
100,没有好友请求
101,"""发言太过频繁，先休息一下吧。"""
102,系统错误
103,您今天已经不能添加好友
104,该玩家今天已经不能添加好友
105,您今天已经删除过一位好友了
106,该玩家今天已经删除过一位好友了
107,字数过多
108,您和该玩家已经是好友了
109,您和该玩家还不是好友
110,记时礼包超前了
111,礼包还没有开始
112,未到礼包领取时间
113,您还未到开启等级
114,该BOSS已经不存在
115,您本月补签次数已满
116,您今天已经签到过
117,您不能搜索自己
118,自己好友数量已达上限
119,对方好友数量已达上限
120,角色初始化失败
121,该物品数量不足
122,声望不足
123,精力已满
124,战力已满
125,该侠客已经不能传功
126,"""该侠客已经满级，只能选择相同侠客传功。"""
127,您今天已经不能再挑战
128,您今天精力药使用次数已满
129,您今天已无法再饮酒恢复战力
130,VIP等级不足无法购买礼包
131,您已经买过此VIP礼包了
132,VIP礼包只能购买1个
133,活动尚未开启
134,"""该侠客无法传功，请提升人物等级"""
135,"""侠客背包已满，请出售或者传功清理背包。"""
136,"""装备背包已满,请出售或者强化清理背包。"""
137,"""拜师奖励已经领取"""
138,做人不能贪心，肉只能吃一次哦。
139,做人不能贪心，酒只能喝一次哦。
140,已达最大侠客背包限制
141,已达最大装备背包限制
142,该成就未完成
143,您还没有充值
144,您已经购买过该物品了
145,您今天已经不能再购买该物品了
146,进化材料不足
147,"""侠客等级不足，请先提升侠客等级"""
148,卡牌已装备上
149,不能装备相同的名师
150,您还不能领取
151,您没有东西可以领取
152,你已经领取了这个活动奖励
153,您今天已经不能再联手该玩家
154,该关卡不允许联手
155,该物品不允许贩卖
156,没有足够多的毅力
157,您未达到等级
158,该层试炼次数已满
159,您还不能进入下一层试炼
160,毅力已满
161,今日龙舌草使用已达上限
162,没有该兑换码
163,该兑换码已经过期
164,您的账号不适用该兑换码
165,您已经领取过该奖励
166,该兑换码已被使用
167,该用户名已存在
168,"""您的账号在其他地方登录，请修改密码"""
169,您未达到全三星领取条件
170,您已经领取过该奖励
171,活跃度不足
172,闯关次数已用完
173,您今天已经不能购买闯关次数
401,用户名长度不正确
402,密码长度不正确
403,密码错误
404,账号不存在
405,服务器维护中
406,账号已存在
407,注册成功
408,版本不正确
409,密码没有修改
410,账号不合法
411,系统错误
412,登录渠道错误
50000,"""大侠莫慌，20级就会开放"""
50001,"""等级不足，无法开启科技所"""
50002,金币不足
50003,该技能已升至顶级
50004,"""等级不足，无法开启论剑"""
50005,论剑打开失败
50006,挑战冷却中
50007,排名奖励未开启
50008,声望值奖励未开启
50009,"""等级不足，不能创建公会。"""
50010,没有相关公会
50011,搜索成功
50012,公会申请成功
50013,输入内容不能为空
50014,该邮件已处理
50015,玩家添加成功
50016,任命成功
50017,卸任成功
50018,确认把该玩家踢出公会吗？
50019,该玩家已备踢出公会
50020,购买成功
50021,需要至少一本材料
50022,需要两本秘籍
50023,请选择待强化侠客
50024,请选择待强化装备
50025,请选择待强化心法
50026,材料数量已满
50027,材料数量已满
50028,请选择待强化秘籍
50029,即将开放
50030,夺宝在%u级开放
50031,传功需要一位侠客
50032,传功需要传功丹
50033,请先选择传功侠客
50034,2级以上的侠客才能传
50035,散功侠客数量已达上限
