1,2,3,4,5,6,7
1,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
2,"6张侠客被分为两组，在战斗中轮流攻击。","点击阵型中的侠客可以看到侠客的详细情况。","20级后玩家战斗失败会扣除精力。","将属性越高的侠客放于阵上，战斗力越强。","在战斗中，血量值为所有上阵侠客的总和。","师父在战斗中会提供大量的伤害。"
3,"每位侠客都可以突破10次，每突破一次等级上限增加5级。","每位觉醒侠客和普通侠客相比属性更高。","侠客使用与自己同属性的秘籍会有更好的效果。","心法可以通过夺宝系统抢夺其它玩家的残章拼凑获得。","秘籍可以通过学艺系统获得，给侠客装备上后会在战斗中获得强大的技能。","多余的侠客和装备可以通过出售功能换取铜钱。"
4,"通过添加好友按钮可以搜索与你实力相近的玩家。","申请好友邀请后，等对方同意两人即互为好友。","记得时不时的给好友发封邮件联络一下感情。","每位玩家每天只能添加一个好友。","好友数量有一定上限，达到上限后将不能添加好友。","好友来之不易，所以请不要随意删除好友。"
5,"在游戏过程中收集到的侠客和装备都会在图鉴中呈现出来。","点击头像可以查看该侠客或者装备的详细信息。","有的侠客在满破之后会有意想不到的效果哦。","在收集的过程中，会有几率获得觉醒侠客，觉醒侠客的属性更高。。","侠客、装备图鉴可以通过江湖以及游戏的PVP系统获得。","图鉴的获得数是玩家资历的表现，赶紧收集全图鉴吧。"
6,"商城道具购买后可以在背包中使用。","各类宝箱需要对应的钥匙才能打开。","精力和体力丹使用后可以恢复精力和体力。","免战牌可以免疫其他玩家的攻击，但是自己也不能攻击其他玩家。","VIP玩家在游戏中会有许多优惠以及特权。","传功丹是侠客传功必须的道具。"
7,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
8,"进行论剑挑战时记得派上最强阵容，这样才能战胜对手。","消耗荣誉值可以用来兑换各种道具。","战胜排名靠前的玩家后，自己的排名就会上升。","每位玩家每天可以挑战10次。","根据玩家的排名，可以领取对应的荣誉值。","战胜排名靠前的玩家后，自己的排名就会上升。"
9,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
10,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
11,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
12,"高级的拜师贴更容易请到高星级的侠客和师父。","各类宝箱需要对应的钥匙才能打开。","元宝可以通过充值获得。","商城道具购买后可以在背包中使用。","充值达到一定数量后可以获得尊贵的VIP身份。","VIP玩家在游戏中会有许多优惠以及特权。"
13,"高星级师父会传授高星级的秘籍。","如果不用心习武，达到一定时间后，师父会自动离开。","师父也是有弱点的，塞红包可以直接获得该奖励。","拜师获得的秘籍可以装备到侠客上。","在拜师期间又寻访到该名师后，师父好感度会上升。","师父好感度提升后，会得到更丰厚的奖励。"
14,"江湖是获得装备的主要途径。","挑战需要消耗精力值，精力不足时将无法挑战。","如果遇到了强大的敌人可以通过强化系统强化装备。","挑战成功后玩家和上阵侠客都会获得经验。","请注意每天每个关卡的剩余挑战次数。","挑战完成的星级达到一定数量后可以兑换相应的奖励。"
15,"侠客可以通过传功把经验传给另一位侠客。","装备每强化1次升1级，但会时不时的有暴击强化出现。","强化心法需要消耗其他心法。","侠客每突破一次，所有属性会提升10%","装备的强化可以大大提升装备的战斗力。","使用相同侠客进行传功的话，传功侠客会突破一次。"
16,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
17,"可以从其他玩家处抢夺心法残卷来合成心法。","在江湖中有几率获得残卷。","抢夺玩家的等级越高，获得残卷的几率越大。","心法可以大幅度提高侠客的属性。","抢夺玩家低等级玩家的残卷，成功率较低。","心法可以在强化界面进行强化。"
18,"在江湖的过程中会有几率触发到Boss战。","活动Boss每死一次就会提升1级，能力也会随之上升。","攻击Boss会在Boss被击杀后获得奖励，击杀Boss者会有更丰厚的奖励。","击杀Boss的玩家有几率触发觉醒Boss事件。","当玩家遇到BOSS时，可以消耗1点体力对BOSS进行攻击，BOSS血量不会恢复。","在一段时间内未能击杀Boss的，Boss会自动离开。"
19,"在江湖的过程中会有几率触发到Boss战。","活动Boss每死一次就会提升1级，能力也会随之上升。","攻击Boss会在Boss被击杀后获得奖励，击杀Boss者会有更丰厚的奖励。","击杀Boss的玩家有几率触发觉醒Boss事件。","当玩家遇到BOSS时，可以消耗1点体力对BOSS进行攻击，BOSS血量不会恢复。","在一段时间内未能击杀Boss的，Boss会自动离开。"
20,"玩家可以在聊天窗口下进行即时聊天。","狮子吼需要消耗一个喇叭，聊天内容会在各个界面中出现。","请文明聊天，不要进行无谓的谩骂。","喇叭需要在商城购买。","玩家可以在聊天窗口下进行即时聊天。","狮子吼需要消耗一个喇叭，聊天内容会在各个界面中出现。"
21,"活动界面会有各式各样的获得等待着您的参与。","活动分为日常活动和特殊活动。","记得每天都要来参与活动哦。","特殊活动会根据不同的时间提供不同的活动。","活动界面会有各式各样的获得等待着您的参与。","活动分为日常活动和特殊活动。"
22,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
23,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
24,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
25,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
26,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
27,"学艺中师父好感度越高，装备该名师后能提供更强的战斗力。","游戏中最多有6个侠客位，后3个侠客位会在玩家达到20级时开启。","20级后玩家战斗失败会扣除精力。","侠客每突破一次，所有属性会提升10%","精力、体力不足时可以直接使用元宝购买。","VIP玩家在游戏中会有许多优惠以及特权。"
28,"每日任务完成后可以获得大量铜钱甚至元宝奖励。","流程任务每个只能完成一次，但是会获得相当丰厚的奖励。","成就象征着荣誉，还不赶快去完成他！","每日任务完成后可以获得大量铜钱甚至元宝奖励。","记得每天都要完成每日任务，过期不候哦。","流程任务每个只能完成一次，但是会获得相当丰厚的奖励。"
29,"每日任务完成后可以获得大量铜钱甚至元宝奖励。","流程任务每个只能完成一次，但是会获得相当丰厚的奖励。","成就象征着荣誉，还不赶快去完成他！","每日任务完成后可以获得大量铜钱甚至元宝奖励。","记得每天都要完成每日任务，过期不候哦。","流程任务每个只能完成一次，但是会获得相当丰厚的奖励。"
30,"转生后侠客的星级会增加，实力也会有质的飞跃","童子侠客可以通过招募中的江湖阅历抽取。","已上阵的侠客和道具不能作为材料，请先卸载他们。","某些侠客转生会有一定的等级限制，请先升级该侠客等级。","童子侠客可以通过招募中的江湖阅历抽取。","已上阵的侠客和道具不能作为材料，请先卸载他们。"
31,"转生后侠客的星级会增加，实力也会有质的飞跃","童子侠客可以通过招募中的江湖阅历抽取。","已上阵的侠客和道具不能作为材料，请先卸载他们。","某些侠客转生会有一定的等级限制，请先升级该侠客等级。","童子侠客可以通过招募中的江湖阅历抽取。","已上阵的侠客和道具不能作为材料，请先卸载他们。"
32,"在BOSS排行榜中排名靠前的玩家会获得丰厚的奖励。","伤害排行榜只计算对于获得boss造成的伤害。","使用当月的倍卡可以更有效的在战斗中发挥实力。","在BOSS排行榜中排名靠前的玩家会获得丰厚的奖励。","伤害排行榜只计算对于获得boss造成的伤害。","使用当月的倍卡可以更有效的在战斗中发挥实力。"
33,"注意活动时间，错过了说不定就没有下次了哦。","新的活动都会提前在公告内发布，请留意公告。","注意活动时间，错过了说不定就没有下次了哦。","新的活动都会提前在公告内发布，请留意公告。","注意活动时间，错过了说不定就没有下次了哦。","新的活动都会提前在公告内发布，请留意公告。"
