ID,标题,描述1,描述2,描述3,描述4,描述5,描述6,描述7,描述8,描述9,描述10,描述11,描述12,0
1,VIP1特权,※ 可购买VIP1礼包,0,※ 元宝首抽必得四星侠客,※ 更容易获得高星师父和侠客,每日论剑次数增加1次,※ 每日使用火腿烈酒各1次,0,0,0,0,0,0,0
2,VIP2特权,※ 可购买VIP2礼包,0,※ 元宝首抽必得四星侠客,※ 比VIP1更容易获得高星师父和侠客,每日论剑次数增加2次,※ 每日使用火腿烈酒各2次,※ 包含VIP1所有功能,0,0,0,0,0,0
3,VIP3特权,※ 可购买VIP3礼包,（35w铜钱、英雄帖*5）,※ 元宝首抽必得四星侠客,※ 比VIP2更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加50%,每日论剑次数增加3次,※ 强化可出现暴击，提高等级2-3级,※ 好友上限额外增加2个,※ 每日登录可多补签2次,※ 包含VIP2所有功能,0,0,0
4,VIP4特权,※ 可购买VIP4礼包,（50w铜钱，四星弟子魂夺死镰）,※ 元宝首抽必得四星侠客,※ 比VIP3更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加60%,每日论剑次数增加4次,※ 每日使用火腿烈酒各3次,※ 强化可出现暴击，随机提高等级2-4级,※ 每日登录可多补签3次,※ 讨伐BOSS攻击力提升10%,※ 游戏中获得的元宝额外增加5%,※ 好友上限额外增加4个,※ 包含VIP3所有功能
5,VIP5特权,※ 可购买VIP5礼包,（80w铜钱、五星弟子圣手白猿、四星饰品圣火令）,※ 元宝首抽必得五星侠客,※ 比VIP4更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加70%,每日论剑次数增加5次,※ 强化可出现暴击，随机提高等级2-5级,※ 讨伐BOSS攻击力提升14%,※ 游戏中获得的元宝额外增加6%,※ 好友上限额外增加6个,※ 包含VIP4所有功能,0,0
6,VIP6特权,※ 可购买VIP6礼包,（100w铜钱、五星师父蓉儿、四星武器逆天剑）,※ 元宝首抽必得五星侠客,※ 比VIP5更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加80%,每日论剑次数增加6次,※ 每日使用火腿烈酒各4次,※ 讨伐BOSS攻击力提升19%,※ 游戏中获得的元宝额外增加7%,※ 好友上限额外增加8个,※ 包含VIP5所有功能,0,0
7,VIP7特权,※ 可购买VIP7礼包,（150w铜钱、五星弟子圣手白猿*2、四星饰品圣火令*2、四星武器逆天剑）,※ 元宝首抽必得五星侠客,※ 比VIP6更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加90%,每日论剑次数增加7次,※ 每日登录可多补签4次,※ 讨伐BOSS攻击力提升25%,※ 游戏中获得的元宝额外增加9%,※ 好友上限额外增加10个,※ 包含VIP6所有功能,0,0
8,VIP8特权,※ 可购买VIP8礼包,（200w铜钱、五星师父蓉儿*2、四星饰品圣火令、四星武器逆天剑*2）,※ 元宝首抽必得五星侠客,※ 比VIP7更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加100%,每日论剑次数增加8次,※ 每日使用火腿烈酒各5次,※ 强化可出现暴击，随机提高等级2-6级,※ 讨伐BOSS攻击力提升32%,※ 游戏中获得的元宝额外增加10%,※ 好友上限额外增加12个,※ 包含VIP7所有功能,0
9,VIP9特权,※ 可购买VIP9礼包,（300w铜钱、五星弟子圣手白猿*2、五星武器玄铁重剑）,※ 元宝首抽必得五星侠客,※ 比VIP8更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加110%,每日论剑次数增加9次,※ 讨伐BOSS攻击力提升40%,※ 游戏中获得的元宝额外增加11%,※ 好友上限额外增加14个,※ 包含VIP8所有功能,0,0,0
10,VIP10特权,※ 可购买VIP10礼包,（500w铜钱、五星师父蓉儿*2、五星装备软猬甲*2、五星武器玄铁重剑）,※ 元宝首抽必得五星侠客,※ 比VIP9更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加120%,每日论剑次数增加10次,※ 每日使用火腿烈酒各6次,※ 讨伐BOSS攻击力提升49%,※ 游戏中获得的元宝额外增加13%,※ 好友上限额外增加16个,※ 包含VIP9所有功能,0,0
11,VIP11特权,※ 可购买VIP11礼包,（1000w铜钱、五星师父蓉儿*2、5星武器玄铁重剑*3、五星装备软猬甲*3）,※ 元宝首抽必得五星侠客,※ 比VIP10更容易获得高星师父和侠客,※ 醉仙楼活动恢复增加130%,每日论剑次数增加11次,※ 每日使用火腿烈酒各7次,※ 强化可出现暴击，随机提高等级2-6级,※ 每日登录可多补签5次,※ 讨伐BOSS攻击力提升60%,※ 游戏中获得的元宝额外增加15%,※ 好友上限额外增加18个,※ 包含VIP10所有功能
