id,描述,蒙版
1,"江湖中有许多强大的敌人，我们去战个痛快吧！",1
2,"听说最近无量山有一批邪教出没，先去试试身手。",1
3,"战斗中师父会首先出现。",1
4,"弟子的防御和血量会叠加到师父上，弟子越多，战斗力也会越强。",1
5,"师父开始攻击了。",1
6,"弟子会紧跟着师父连续攻击2轮，直到战斗结束。",1
7,"恭喜英雄旗开得胜，江湖是提升战斗力的重要途径。",1
8,"又来了一批无量弟子，再去会会他们。",1
9,"看来敌人的数量也不少啊。",1
10,"这批敌人都带着武器，我们也去找把称手的兵刃吧。",1
11,"礼包中有不少好东西，赶紧打开看看吧。",1
12,"英雄快看，师父正等着你给他装上刚刚获得的武器呢，赶紧给他吧。",1
13,"点击武器，这武器一定会帮助你获得战斗的胜利。",1
14,"武器不够强的时候还可以去强化哦。",1
15,"强化会耗费铜钱，但是会大大提升武器的战斗力。",1
16,"好了，您的战斗力又有了提升，可以去挑战更强大的敌人了。",1
17,"在抗击邪教的过程中，还有着各种任务等待着英雄你哦。",1
18,"达到一定条件后就可以领取奖励了。",1
19,"完成任务后，记得要回来领奖哦。",1
101,"恭喜闯过了无量宫！我们也需要更多的弟子来增加战力。",1
102,"使用五张英雄帖就可以进行一次高级招募，来试试吧。",1
103,"恭喜获得了更加强力的弟子，快让他上阵吧。",1
104,"恭喜！我们的战斗力更加强大了！",1
201,"恭喜你已经越来越强大了!现在我们可以和天下英雄一较高低了！",1
202,"这里可以看到侠士的排行榜，找一名侠士切磋一番吧。",1
203,"获胜即可增加排名，失败名次不变，每天根据排名可以领取声望兑换物品。",1
204,"努力和其他侠士切磋取得更多的声望吧。",1
301,"好像出现了很强的敌人，试着攻击看看吧。",1
302,"他的血量不回复，可以反复挑战。也可以邀请好友一起讨伐。",1
303,"通过讨伐前往BOSS战，也可以帮助好友，参与的人都有奖励:)",1
401,"恭喜您到达了6级，现在可以通过学艺来获得秘籍，增强战斗力",1
402,"遇到了师傅哦，学习一段时间即可修得秘籍，也可以通过塞红包来直接学习",1
403,"获得了秘籍啊，现在去给弟子装备上吧",1
404,"你的战斗力更强了！快去看看有什么可以完成的任务吧！！",1
501,"精英关卡已经开启，每天挑战可获得师傅碎片，大量经验金钱奖励，快去试试吧。",1
601,"进化系统已经开启了，侠客可以通过进化后获得更强大的属性，快点去试试吧！",1
701,"在精英战斗中，可以找好友或者各路侠士来帮忙哦，请点击选择一位侠士。",1
702,"点击联手即可进入战斗。",1
801,"带上新的侠客继续去江湖闯荡吧，还有更多的高手在等待着我们！",1
901,"听说这里还有不错的奖励哦！",1
902,"点击领取就可以领奖了。",1
903,"记得每天都要回来领奖哦！",1
904,大侠，把秘籍都装备起来吧！快点击“江湖”阻止东方菇凉！,1
1000,2222,1
2000,2222,1
3000,2222,1
4000,"点击头像选择想要更换下来的侠客。",1
4001,"点击更换按钮。",1
4002,"选择想要上阵的侠客。",1
4003,"点击确认按钮。",1
5000,"恭喜试炼系统已经开启了，点击进去体验一下吧。",1
5001,"点击前进就会得到不错的奖励哦。",1
5002,"试炼共分为9层，越往后的奖励越丰富，还在等什么赶紧奔向第9层吧！",1
6001,"想要快速升级侠客也是有途径的哦！",1
6002,"点击选择想要强化的侠客。",1
6003,"点击传功按钮。",1
6004,"选择需要消耗材料侠客。",1
6005,"点击头像可以选择散功侠客。",1
6006,"确认散功这些侠客，侠客散功后将会消失。",1
6007,"点击确认传功。",1
6008,"师傅战斗力更强了!回到江湖,还有更多的高手在等待着我们!。",1
300106,2222,1
300201,2222,1
